image_url,x,y,width,height,neighborhood,intersection
"https://lh3.googleusercontent.com/d/1_q0HhRr89RyQ66hqE6BWl2psaUerZCFM
",197,965,33,31,east_village,7th_Market
"https://lh3.googleusercontent.com/d/1_q0HhRr89RyQ66hqE6BWl2psaUerZCFM
",1252,985,35,36,east_village,16th_Market
"https://lh3.googleusercontent.com/d/1_q0HhRr89RyQ66hqE6BWl2psaUerZCFM
",1255,511,44,49,east_village,16th_E
"https://lh3.googleusercontent.com/d/1_q0HhRr89RyQ66hqE6BWl2psaUerZCFM
",202,502,39,38,east_village,7th_E
"https://lh3.googleusercontent.com/d/1s3UBjwhrla7pNBpQPy0j2COIX7uPsj6y
",337,884,33,31,east_village,7th_Market
"https://lh3.googleusercontent.com/d/1s3UBjwhrla7pNBpQPy0j2COIX7uPsj6y
",1242,882,35,36,east_village,16th_Market
"https://lh3.googleusercontent.com/d/1s3UBjwhrla7pNBpQPy0j2COIX7uPsj6y
",1236,476,44,49,east_village,16th_E
"https://lh3.googleusercontent.com/d/1s3UBjwhrla7pNBpQPy0j2COIX7uPsj6y
",332,487,39,38,east_village,7th_E
"https://lh3.googleusercontent.com/d/1a3OPxv45xGYBFoh2R-2Nv20VxqEHPTqp
",268,943,33,31,east_village,7th_Market
"https://lh3.googleusercontent.com/d/1a3OPxv45xGYBFoh2R-2Nv20VxqEHPTqp
",1222,945,35,36,east_village,16th_Market
"https://lh3.googleusercontent.com/d/1a3OPxv45xGYBFoh2R-2Nv20VxqEHPTqp
",1218,519,44,49,east_village,16th_E
"https://lh3.googleusercontent.com/d/1a3OPxv45xGYBFoh2R-2Nv20VxqEHPTqp
",264,528,39,38,east_village,7th_E
"https://lh3.googleusercontent.com/d/1634beOMnc5xx4TyOaEi2Km2gWYrs5qOw
",270,945,33,31,east_village,7th_Market
"https://lh3.googleusercontent.com/d/1634beOMnc5xx4TyOaEi2Km2gWYrs5qOw
",1224,943,35,36,east_village,16th_Market
"https://lh3.googleusercontent.com/d/1634beOMnc5xx4TyOaEi2Km2gWYrs5qOw
",1218,519,44,49,east_village,16th_E
"https://lh3.googleusercontent.com/d/1634beOMnc5xx4TyOaEi2Km2gWYrs5qOw
",265,533,39,38,east_village,7th_E
"https://lh3.googleusercontent.com/d/1kRS_y7GsYRNXrbJdMJE0NpOcxR9wpnUC
",270,956,33,31,east_village,7th_Market
"https://lh3.googleusercontent.com/d/1kRS_y7GsYRNXrbJdMJE0NpOcxR9wpnUC
",1224,956,35,36,east_village,16th_Market
"https://lh3.googleusercontent.com/d/1kRS_y7GsYRNXrbJdMJE0NpOcxR9wpnUC
",1219,529,44,49,east_village,16th_E
"https://lh3.googleusercontent.com/d/1kRS_y7GsYRNXrbJdMJE0NpOcxR9wpnUC
",266,541,39,38,east_village,7th_E
"https://lh3.googleusercontent.com/d/1igp1SQlrWiSTl45pGliqa615CxzFFOHc
",275,946,33,31,east_village,7th_Market
"https://lh3.googleusercontent.com/d/1igp1SQlrWiSTl45pGliqa615CxzFFOHc
",1223,941,35,36,east_village,16th_Market
"https://lh3.googleusercontent.com/d/1igp1SQlrWiSTl45pGliqa615CxzFFOHc
",1215,516,44,49,east_village,16th_E
"https://lh3.googleusercontent.com/d/1igp1SQlrWiSTl45pGliqa615CxzFFOHc
",268,532,39,38,east_village,7th_E
"https://lh3.googleusercontent.com/d/1jyArTiQDY9BBa0FAhhypZce1T-fNWQjX
",181,336,26,27,Golden Hill,B_19th
"https://lh3.googleusercontent.com/d/1jyArTiQDY9BBa0FAhhypZce1T-fNWQjX
",172,683,26,26,Golden Hill,E_19th
"https://lh3.googleusercontent.com/d/1jyArTiQDY9BBa0FAhhypZce1T-fNWQjX
",1173,344,27,27,Golden Hill,B_27th
"https://lh3.googleusercontent.com/d/1jyArTiQDY9BBa0FAhhypZce1T-fNWQjX
",1172,653,28,28,Golden Hill,E_27th
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",312,339,26,27,Golden Hill,B_19th
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",307,638,25,26,Golden Hill,E_19th
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",1163,336,27,27,Golden Hill,B_27th
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",1168,605,28,28,Golden Hill,E_27th
"https://lh3.googleusercontent.com/d/1TyWQNmf84eYNUku3LsLw_1ZEFSln06ni
",238,373,26,27,Golden Hill,B_19th
"https://lh3.googleusercontent.com/d/1TyWQNmf84eYNUku3LsLw_1ZEFSln06ni
",236,691,25,26,Golden Hill,E_19th
"https://lh3.googleusercontent.com/d/1TyWQNmf84eYNUku3LsLw_1ZEFSln06ni
",1139,366,27,27,Golden Hill,B_27th
"https://lh3.googleusercontent.com/d/1TyWQNmf84eYNUku3LsLw_1ZEFSln06ni
",1144,648,28,28,Golden Hill,E_27th
"https://lh3.googleusercontent.com/d/1yGft0p4OGsoFZLwl0EKs7jE3S9-gBUsY
",238,373,26,27,Golden Hill,B_19th
"https://lh3.googleusercontent.com/d/1yGft0p4OGsoFZLwl0EKs7jE3S9-gBUsY
",236,691,25,26,Golden Hill,E_19th
"https://lh3.googleusercontent.com/d/1yGft0p4OGsoFZLwl0EKs7jE3S9-gBUsY
",1141,379,27,27,Golden Hill,B_27th
"https://lh3.googleusercontent.com/d/1yGft0p4OGsoFZLwl0EKs7jE3S9-gBUsY
",1144,662,28,28,Golden Hill,E_27th
"https://lh3.googleusercontent.com/d/1fddAJm9SWK1Mspt9kXkNrrKEiKP7U1Jf
",244,373,26,27,Golden Hill,B_19th
"https://lh3.googleusercontent.com/d/1fddAJm9SWK1Mspt9kXkNrrKEiKP7U1Jf
",240,690,25,26,Golden Hill,E_19th
