url,neighborhood,source,dest,matrix
"https://lh3.googleusercontent.com/d/1gyiPdHHps-Dwz7_B648tAq0-gYeyN-oS
",sherman_heights,"POLYGON ((236.5 1829.5, 232 1142.5, 697 1145, 699.5 1829, 236.5 1829.5))","POLYGON ((6285842.880290225 1838320.4808238894, 6285858.862213641 1840242.7000765651, 6287154.647679806 1840266.7971412241, 6287147.123088554 1838309.2908856422, 6285842.880290225 1838320.4808238894))","[[2.8017550224604504, 0.007709037266117419, 0.0], [0.002844964377800352, 2.829741690234414, 0.0], [6285190.330999301, 1835074.811870676, 1.0]]"
"https://lh3.googleusercontent.com/d/1hJm2kSZCJRrPnq4OgYWwCK2ZY6plyXLP
",city_center,"POLYGON ((432.5 1611, 430.5 1377, 1353.5 1368.5, 1356 1604.5, 432.5 1611))","POLYGON ((6280315 1841426.99999984, 6280318 1842176.99899985, 6283399.60100012 1842164.96199983, 6283395.99999989 1841402.99999985, 6280315 1841426.99999984))","[[3.337304071204263, 0.006617013238718447, 0.0], [-0.0179175901630515, 3.216925071427113, 0.0], [6278903.222240153, 1836993.0578422002, 1.0000000000000004]]"
"https://lh3.googleusercontent.com/d/1igp1SQlrWiSTl45pGliqa615CxzFFOHc
",east_village,"POLYGON ((287.5 1449, 291.5 1038.5, 1240.5 1041, 1237 1459.5, 287.5 1449))","POLYGON ((6282272 1839874.99999986, 6282274 1841025.99999984, 6284997.99899991 1841020.99999985, 6284995.00099991 1839861.99999983, 6282272 1839874.99999986))","[[2.868888124853823, -0.028561049148044013, 0.0], [0.03197585507768963, 2.786065272130827, 0.0], [6281402.686970276, 1836993.6008171798, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/1jyArTiQDY9BBa0FAhhypZce1T-fNWQjX
",Golden Hill,"POLYGON ((194 1650.5, 185 1304, 1186 1333, 1186.5 1642.5, 194 1650.5))","POLYGON ((6285851.602057546 1841024.0836843997, 6285845.135206968 1842159.1903380603, 6289136.307430387 1842152.8734215647, 6289139.730979964 1841108.5644865632, 6285851.602057546 1841024.0836843997))","[[3.3010076291830677, 0.0041770436717728345, 0.0], [-0.06534171299335867, 3.3194692827607923, 0.0], [6285319.382385302, 1836687.191487038, 0.9999999999999998]]"
"https://lh3.googleusercontent.com/d/1kRS_y7GsYRNXrbJdMJE0NpOcxR9wpnUC
",east_village,"POLYGON ((285.5 1440, 286.5 1028.5, 1241.5 1026, 1241 1446.5, 285.5 1440))","POLYGON ((6282272 1839874.99999986, 6282274 1841025.99999984, 6284997.99899991 1841020.99999985, 6284995.00099991 1839861.99999983, 6282272 1839874.99999986))","[[2.8510627036317224, -0.015236516123296528, 0.0], [0.011140487273223698, 2.7761941221615416, 0.0], [6281443.845955992, 1837028.3411950702, 0.9999999999999997]]"
"https://lh3.googleusercontent.com/d/1kjpagntLPayTSxLdgrw4aPhBLilhrdKp
",Columbia,"POLYGON ((851.5 1736.5, 852 1304.5, 1273 1306.5, 1272 1736, 851.5 1736.5))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.9605316035828757, -0.01672459015495375, 0.0], [0.02449178704591759, 2.6164765852538494, 0.0], [6277242.464673946, 1838035.9657785718, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/1lRP3cA22bQfaXDwmrohyLn-IceymveVQ
",sherman_heights,"POLYGON ((308.5 1852.5, 305 1201.5, 748 1204, 745 1853, 308.5 1852.5))","POLYGON ((6285842.880290225 1838320.4808238894, 6285858.862213641 1840242.7000765651, 6287154.647679806 1840266.7971412241, 6287147.123088554 1838309.2908856422, 6285842.880290225 1838320.4808238894))","[[2.9561088394950317, 0.004148945026954002, 0.0], [0.01693233994592447, 2.9843543275721913, 0.0], [6284918.249118117, 1834723.2849697103, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/1lwDj3KgElYbZw1_aREvtYWiLED4Wug7a
",sherman_heights,"POLYGON ((234.5 1834.5, 235 1148.5, 701 1153, 697.5 1837, 234.5 1834.5))","POLYGON ((6285842.880290225 1838320.4808238894, 6285858.862213641 1840242.7000765651, 6287154.647679806 1840266.7971412241, 6287147.123088554 1838309.2908856422, 6285842.880290225 1838320.4808238894))","[[2.7985478991167168, -0.007586925171976996, 0.0], [0.025328993946459377, 2.8318511592719915, 0.0], [6285156.13392897, 1835059.698582306, 0.9999999999999994]]"
"https://lh3.googleusercontent.com/d/1lxzd7V8TxtYAcOhmUdm2u5poPPKD-Xp7
",Barrio Logan,"POLYGON ((451 1481.5, 1023 1004, 1220 1254, 514.5 1839.5, 451 1481.5))","POLYGON ((6284815.309510723 1836171.631447062, 6284995.965973556 1837498.1724291444, 6287564.770219132 1835343.8962258995, 6286846.508204222 1834458.5886133164, 6284815.309510723 1836171.631447062))","[[3.5649430190762095, -0.0031699020724463615, 0.0], [-0.04858240485191345, 3.6389729962777437, 0.0], [6283263.8688669, 1830795.1572499978, 0.9999999999999999]]"
"https://lh3.googleusercontent.com/d/1mosQ6SCfNawt9cVcds0tcy2ZgAJkFYwo
",Barrio Logan,"POLYGON ((450 1488.5, 1031 1023, 1227 1271, 503.5 1849.5, 450 1488.5))","POLYGON ((6284815.309510723 1836171.631447062, 6284995.965973556 1837498.1724291444, 6287564.770219132 1835343.8962258995, 6286846.508204222 1834458.5886133164, 6284815.309510723 1836171.631447062))","[[3.5474030548242075, -0.04506421428364723, 0.0], [0.022801593898293504, 3.6503502573159494, 0.0], [6283175.412605057, 1830764.559947597, 1.0000000000000004]]"
